Worker_ID,Name,Primary_Service,Rating,Total_Reviews,Experience_Years,City,Hourly_Rate_INR,Availability,Phone
WRK0282,Hardik Rawat,Painting,4.1,54,15,Hyderabad,349,Available,+91 62022 38905
WRK0283,Vikas Trivedi,Electrician,4.6,301,6,Bengaluru,257,Available,+91 96026 76952
WRK0284,Priya Trivedi,Electrician,4.7,33,18,Bengaluru,417,Available,+91 95805 38644
WRK0285,Vijay Luhar,Cleaning,3.7,453,15,Ahmedabad,597,Busy,+91 88774 25386
WRK0286,Manoj Dave,Painting,4.7,324,12,Pune,271,Busy,+91 70877 90760
WRK0287,Manoj Singh,Carpentry,4.2,317,12,Delhi,560,Available,+91 71034 52421
WRK0288,Priya Dutt,Painting,3.4,396,4,Pune,535,Available,+91 63885 46349
WRK0289,Amit Soni,Plumbing,4.7,401,11,Pune,495,Available,+91 92077 28634
WRK0290,Naresh Zala,Appliance Repair,4.3,462,3,Ahmedabad,583,Available,+91 86401 77582
WRK0291,Preeti Gurjar,Appliance Repair,4.2,456,11,Ahmedabad,540,Available,+91 90044 93209
WRK0292,Krishna Trivedi,Appliance Repair,4.9,434,7,Rajkot,365,Busy,+91 92421 45197
WRK0293,Radha Shukla,Carpentry,4.2,260,5,Mumbai,250,Available,+91 63172 16021
WRK0294,Hemant Sharma,Cleaning,4.0,12,6,Pune,532,Available,+91 73259 27290
WRK0295,Neha Yadav,Painting,3.7,202,12,Vadodara,520,Available,+91 63393 61949
WRK0296,Deepak Meena,Painting,4.5,12,3,Rajkot,267,Available,+91 91248 20215
WRK0297,Nilesh Jat,Cleaning,4.5,430,1,Ahmedabad,444,Available,+91 87676 27324
WRK0298,Kiran Yadav,Painting,3.4,200,4,Gandhinagar,596,Busy,+91 68986 60164
WRK0299,Suresh Shah,Cleaning,4.2,324,17,Vadodara,569,Available,+91 88842 56030
WRK0300,Dinesh Rawat,Carpentry,4.7,56,15,Ahmedabad,501,Available,+91 69175 26142
